Município,Latitude,Longitude,Nível de Ocorrência,Observação
Rio Brilhante,-21.8025,-54.5461,5,"Epicentro - maior nº de ataques, >1000 animais, R$1.5M prejuízo milho"
Fátima do Sul,-22.3789,-54.5131,5,Prioridade extremamente alta IBAMA
Laguna Carapã,-22.5444,-55.1483,5,"Prioridade extremamente alta IBAMA, múltiplos aspectos"
Douradina,-22.0411,-54.6156,5,Prioridade extremamente alta IBAMA
Dourados,-22.2211,-54.8056,4,Maior nº de abates registrados no SIMAF
Maracaju,-21.6142,-55.1681,4,Grande área agrícola afetada
Nova Alvorada do Sul,-21.4658,-54.3828,4,Ocorrência frequente confirmada
Itaporã,-22.0797,-54.7886,4,Região agrícola fortemente afetada
Caarapó,-22.6364,-54.8206,4,Ocorrência frequente
Ponta Porã,-22.5358,-55.7256,4,Fronteira - rota original de entrada dos javalis
Bonito,-21.1267,-56.4836,3,Área turística afetada
Rochedo,-19.9519,-54.8906,3,Prioridade alta - aspecto ambiental
Porto Murtinho,-21.6989,-57.8828,3,Prioridade alta - aspecto ambiental
Jardim,-21.4797,-56.1383,3,Ocorrência confirmada
Coronel Sapucaia,-23.2722,-55.5264,3,Fronteira
Sidrolândia,-20.9306,-54.9611,3,Grande área agrícola
Ivinhema,-22.3089,-53.8167,3,Ocorrência confirmada
Antônio João,-22.1914,-55.9531,3,Fronteira - rota de entrada
Amambai,-23.105,-55.2256,3,Ocorrência confirmada
Aral Moreira,-22.9367,-55.6383,3,Fronteira com Paraguai
Bela Vista,-22.1069,-56.5214,3,Região Sul - cruzamento javaporcos
Naviraí,-23.0631,-54.1908,3,Ocorrência confirmada
Deodápolis,-22.2767,-54.1681,2,Ocorrência confirmada
Nova Andradina,-22.2328,-53.3433,2,Ocorrência confirmada
Miranda,-20.2406,-56.3778,2,Ocorrência confirmada
Juti,-22.86,-54.6064,2,Ocorrência confirmada
Jateí,-22.4803,-54.3078,2,Ocorrência confirmada
Itaquiraí,-23.4767,-54.1875,2,Ocorrência confirmada
Guia Lopes da Laguna,-21.4583,-56.1117,2,Ocorrência confirmada
Glória de Dourados,-22.4133,-54.2328,2,Ocorrência confirmada
Coxim,-18.5069,-54.76,2,Ocorrência confirmada
Corumbá,-19.0092,-57.6514,2,Pantanal - porco monteiro
Caracol,-22.0111,-57.0272,2,Ocorrência confirmada
Bodoquena,-20.5381,-56.7147,2,Ocorrência confirmada
Bataiporã,-22.2944,-53.2706,2,Ocorrência confirmada
Aquidauana,-20.4714,-55.7867,2,Ocorrência confirmada
Anaurilândia,-22.1856,-52.7189,2,Ocorrência confirmada
Angélica,-22.1531,-53.7711,2,Ocorrência confirmada
Campo Grande,-20.4697,-54.6201,1,Relatos periurbanos
Três Lagoas,-20.7511,-51.6783,1,Relatos esporádicos
Mundo Novo,-23.9356,-54.2808,1,Relatos esporádicos
Eldorado,-23.7867,-54.2836,1,Relatos esporádicos
